alpha,cm
-180.0,0.0
-178.57142857142856,0.05714285714285779
-177.14285714285714,0.11428571428571445
-175.71428571428572,0.1714285714285711
-174.28571428571428,0.2285714285714289
-172.85714285714286,0.28571428571428553
-171.42857142857142,0.34285714285714336
-170.0,0.4
-168.57142857142858,0.4177461869059769
-167.14285714285714,0.43549237381195416
-165.7142857142857,0.45323856071793145
-164.28571428571428,0.4709847476239083
-162.85714285714283,0.4887309345298856
-161.42857142857144,0.5064771214358621
-160.0,0.5242233083418394
-155.0,0.44274974154113517
-150.0,0.36127617474043094
-145.0,0.3401989951755072
-140.0,0.31912181561058345
-135.0,0.3178140331931391
-130.0,0.3165062507756948
-125.00000000000001,0.3220303712623422
-119.99999999999999,0.3275544917489896
-115.0,0.3332848885907115
-110.0,0.3390152854324334
-105.0,0.3407144593579854
-100.0,0.34241363328353736
-95.0,0.33743195445787966
-90.0,0.332450275632222
-85.0,0.3178951984249105
-80.0,0.30334012121759896
-75.0,0.2836117649034522
-70.0,0.2638834085893055
-65.0,0.2418128825617241
-60.00000000000001,0.21974235653414273
-55.0,0.19790757710701565
-50.0,0.1760727976798886
-45.0,0.15585114516747228
-40.0,0.13562949265505597
-35.0,0.1148994504512927
-30.000000000000004,0.09416940824752945
-24.999999999999996,0.055604590861320795
-20.0,0.017039773475112225
-19.857142857142858,0.012731619848976836
-19.714285714285715,0.00842346622284145
-19.57142857142857,0.004115312596705953
-19.428571428571427,-0.00019284102942943374
-19.285714285714285,-0.004500994655564822
-19.142857142857142,-0.008809148281700211
-19.0,-0.0131173019078356
-18.857142857142858,-0.01742545553397099
-18.714285714285715,-0.021733609160106377
-18.571428571428573,-0.026041762786241766
-18.42857142857143,-0.030349916412377154
-18.285714285714285,-0.03465807003851265
-18.0,-0.04327437729078342
-17.0,-0.03362464347100481
-16.0,-0.028200631884517564
-14.999999999999998,-0.024371885797200895
-14.0,-0.02141693168614304
-13.0,-0.01908521714234915
-12.000000000000002,-0.01652986189041544
-11.0,-0.014762854736576634
-10.0,-0.01304234396121458
-9.0,-0.010662951083029126
-8.0,-0.011953019272596666
-7.0,-0.013863839381444792
-6.000000000000001,-0.011655935798447951
-5.0,-0.010465529133094809
-4.0,-0.010099155141152862
-3.0000000000000004,-0.009914049683558418
-2.0,-0.0098867485088178
-1.0,-0.009963650806086043
0.0,-0.010106978871807027
1.0,-0.01011544319270682
2.0,-0.010073482694689197
3.0000000000000004,-0.009396108278779064
4.0,-0.00856114248153007
5.0,-0.00945927495696434
6.000000000000001,-0.012945715503896428
7.0,-0.012433831707227302
8.0,-0.011362277983602847
9.0,-0.010755381368430862
10.0,-0.010185748121898635
11.0,-0.009491565003108772
12.000000000000002,-0.008383891294900001
13.0,-0.00718685223303928
14.0,-0.005387510622009306
14.999999999999998,-0.002412025250884002
16.0,0.0023854999845721544
17.0,0.010214580852354882
18.0,0.013288389955584979
19.0,0.006397055480815552
20.0,0.0
25.0,-0.06225331638188383
29.999999999999996,-0.12450663276376761
35.0,-0.14717611664238509
40.0,-0.1698456005210025
45.0,-0.18767632271142326
49.99999999999999,-0.20550704490184396
55.0,-0.22282077421040797
59.99999999999999,-0.24013450351897195
65.0,-0.25724313742682153
70.0,-0.2743517713346711
75.0,-0.2902736858010205
80.0,-0.30619560026736986
85.0,-0.31932293794979594
90.0,-0.332450275632222
95.0,-0.33743195445787966
100.0,-0.34241363328353736
105.0,-0.3407144593579854
110.0,-0.3390152854324334
115.0,-0.3332848885907115
119.99999999999999,-0.3275544917489896
125.00000000000001,-0.3220303712623422
130.0,-0.3165062507756948
135.0,-0.3178140331931391
140.0,-0.31912181561058345
145.0,-0.3401989951755072
149.99999999999997,-0.36127617474043094
155.0,-0.44274974154113517
160.0,-0.5242233083418393
161.42857142857144,-0.5207628357215764
162.85714285714286,-0.5173023631013137
164.28571428571428,-0.513841890481051
165.7142857142857,-0.5103814178607883
167.14285714285714,-0.5069209452405256
168.57142857142858,-0.5034604726202627
170.0,-0.5
171.42857142857142,-0.42857142857142916
172.85714285714286,-0.35714285714285693
174.28571428571428,-0.28571428571428614
175.71428571428572,-0.21428571428571386
177.14285714285714,-0.14285714285714302
178.57142857142856,-0.07142857142857223
180.0,0.0
