alpha,cm
-180.0,0.0
-178.57142857142856,0.05714285714285779
-177.14285714285714,0.11428571428571445
-175.71428571428572,0.1714285714285711
-174.28571428571428,0.2285714285714289
-172.85714285714286,0.28571428571428553
-171.42857142857142,0.34285714285714336
-170.0,0.4
-168.57142857142858,0.42163076923663584
-167.14285714285714,0.4432615384732721
-165.7142857142857,0.4648923077099083
-164.28571428571428,0.4865230769465441
-162.85714285714283,0.5081538461831804
-161.42857142857144,0.5297846154198158
-160.0,0.551415384656452
-155.0,0.4617813800425249
-150.0,0.37214737542859777
-145.0,0.3478466905098808
-140.0,0.32354600559116387
-135.0,0.3207439871944822
-130.0,0.31794196879780057
-125.00000000000001,0.322805957873779
-119.99999999999999,0.32766994694975754
-115.0,0.3331952035843869
-110.0,0.3387204602190163
-105.0,0.3404499977009165
-100.0,0.3421795351828167
-95.0,0.33730886911254143
-90.0,0.3324382030422661
-85.0,0.3174475398896797
-80.0,0.3024568767370933
-75.0,0.28244476709854294
-70.0,0.26243265745999256
-65.0,0.24030264145955518
-60.00000000000001,0.21817262545911784
-55.0,0.1965128061458081
-50.0,0.1748529868324984
-45.0,0.15493970311987537
-40.0,0.13502641940725238
-35.0,0.11433747336942889
-30.000000000000004,0.0936485273316054
-24.999999999999996,0.053058716047972944
-20.0,0.012468904764340566
-19.928571428571427,0.008918772759290745
-19.857142857142858,0.005368640754241102
-19.785714285714285,0.0018185087491912801
-19.714285714285715,-0.0017316232558583621
-19.642857142857146,-0.005281755260908006
-19.571428571428573,-0.008831887265957829
-19.500000000000004,-0.012382019271007471
-19.428571428571427,-0.015932151276057467
-19.357142857142858,-0.019482283281107113
-19.285714285714285,-0.023032415286156932
-19.214285714285715,-0.026582547291206578
-19.142857142857142,-0.030132679296256397
-19.0,-0.03723294330635586
-18.0,-0.04244775811759711
-17.0,-0.032744944331172705
-16.0,-0.027532408221173837
-14.999999999999998,-0.023851178576753708
-14.0,-0.020997975594337127
-13.0,-0.018735721760284603
-12.000000000000002,-0.01633951418963269
-11.0,-0.014543115611206258
-10.0,-0.01282760215417115
-9.0,-0.01040194256408377
-8.0,-0.012375745367648372
-7.0,-0.01357036776577375
-6.000000000000001,-0.011326932564237228
-5.0,-0.01036769347347293
-4.0,-0.010024647643418105
-3.0000000000000004,-0.00987067591785289
-2.0,-0.009864408999669316
-1.0,-0.009953577776343345
0.0,-0.01011069187169267
1.0,-0.010156047403012796
2.0,-0.010174327098600257
3.0000000000000004,-0.009641924530422376
4.0,-0.008907806101352167
5.0,-0.009203333141095713
6.000000000000001,-0.012512485941290905
7.0,-0.012474810736753881
8.0,-0.011420775650483035
9.0,-0.010854026870061817
10.0,-0.010311576635414849
11.0,-0.009646714866794383
12.000000000000002,-0.008615977909915813
13.0,-0.007459373747782494
14.0,-0.0056971821925988295
14.999999999999998,-0.0026550063041392027
16.0,0.0015040226535883707
17.0,0.009274399150836637
18.0,0.013335409526209081
19.0,0.008517727634617188
20.0,0.0
25.0,-0.062084683407090474
29.999999999999996,-0.1241693668141809
35.0,-0.14691308639917255
40.0,-0.16965680598416416
45.0,-0.18712245604570127
49.99999999999999,-0.20458810610723838
55.0,-0.22165343765527584
59.99999999999999,-0.23871876920331325
65.0,-0.25583616780449775
70.0,-0.2729535664056822
75.0,-0.2891366659771116
80.0,-0.30531976554854096
85.0,-0.3188789842954035
90.0,-0.3324382030422661
95.0,-0.33730886911254143
100.0,-0.3421795351828167
105.0,-0.3404499977009165
110.0,-0.3387204602190163
115.0,-0.3331952035843869
119.99999999999999,-0.32766994694975754
125.00000000000001,-0.322805957873779
130.0,-0.31794196879780057
135.0,-0.3207439871944822
140.0,-0.32354600559116387
145.0,-0.3478466905098808
149.99999999999997,-0.37214737542859755
155.0,-0.4617813800425248
160.0,-0.5514153846564519
161.42857142857144,-0.5440703297055302
162.85714285714286,-0.5367252747546085
164.28571428571428,-0.5293802198036869
165.7142857142857,-0.5220351648527652
167.14285714285714,-0.5146901099018434
168.57142857142858,-0.5073450549509216
170.0,-0.5
171.42857142857142,-0.42857142857142916
172.85714285714286,-0.35714285714285693
174.28571428571428,-0.28571428571428614
175.71428571428572,-0.21428571428571386
177.14285714285714,-0.14285714285714302
178.57142857142856,-0.07142857142857223
180.0,0.0
