alpha,cm
-30.0,0.06388508564446553
-28.0,0.04520322292156114
-27.0,0.0367124176764966
-26.0,0.028246952025245946
-25.0,-0.01307282562626011
-24.0,-0.017061415080494784
-23.0,-0.0209933804082645
-22.0,-0.024888096205325623
-21.0,-0.027736704516366045
-19.0,-0.04595772665080669
-18.0,-0.059343988253472126
-17.0,-0.07058352468124188
-16.0,-0.08353464739492714
-15.0,-0.09689968456134126
-14.0,-0.10168079316242641
-13.0,-0.10677172655011144
-12.0,-0.10916709851852559
-11.0,-0.11129893903950558
-10.0,-0.11188864414689444
-9.0,-0.11080804215662711
-8.0,-0.10944208431041458
-7.0,-0.10762655298219709
-6.0,-0.10579337356951418
-5.0,-0.10394244166875527
-4.0,-0.10202647499395602
-3.0,-0.10000742662298416
-2.0,-0.09794226137453498
-1.0,-0.09600407864204161
0.0,-0.09409804279197712
1.0,-0.09148901187440961
2.0,-0.08771328306182094
3.0,-0.10193231312289817
4.0,-0.10288672902363608
5.0,-0.0974634686811399
6.0,-0.09195212189071934
7.0,-0.0865850889795253
8.0,-0.08004570042949723
9.0,-0.0730932443003224
10.0,-0.06660538911037225
11.0,-0.0604800826156377
12.0,-0.05440303974834646
13.0,-0.04852004271006014
14.0,-0.042200872649302064
15.0,-0.03678702058150221
16.0,-0.033476167865873
17.0,-0.03182233247923951
18.0,-0.03186534403105545
19.0,-0.033410907275163826
20.0,-0.03699245069789124
21.0,-0.04234039650966652
22.0,-0.049369768305329846
23.0,-0.058859918834400685
24.0,-0.06898875174445013
25.0,-0.07994307963410203
26.0,-0.0916701320601196
27.0,-0.10405695307852028
28.0,-0.11655076343144166
29.0,-0.12984363790214748
30.0,-0.14417327175744854
