alpha,cm
-180.0,0.0
-178.5,0.06
-177.0,0.12
-175.5,0.18
-174.0,0.24
-172.5,0.3
-171.0,0.36
-169.5,0.41755542541548557
-168.0,0.4702217016619423
-166.5,0.522887977908399
-165.00000000000003,0.5755542541548547
-163.5,0.6282205304013124
-162.0,0.6808868066477691
-160.50000000000003,0.7335530828942248
-159.0,0.7288809763977165
-154.07142857142858,0.6193309976885989
-149.14285714285714,0.5210814432333659
-144.21428571428572,0.4765089039840874
-139.2857142857143,0.4364908109540264
-134.35714285714286,0.42334395061734936
-129.42857142857144,0.4115956731818249
-124.49999999999999,0.41051159036758855
-119.57142857142857,0.40969205480914883
-114.64285714285715,0.4116502654365727
-109.71428571428572,0.4134721182103232
-104.78571428571429,0.4130781558618812
-99.85714285714286,0.41251938106380226
-94.92857142857143,0.4064393892028872
-90.0,0.4003593973419721
-85.07142857142857,0.3841718002031299
-80.14285714285715,0.36798420306428775
-75.21428571428571,0.34797141871953635
-70.28571428571429,0.32784444968207127
-65.35714285714286,0.3067581899306132
-60.42857142857143,0.2856128969044479
-55.5,0.2655165333933413
-50.57142857142858,0.245520067931288
-45.642857142857146,0.22659248944447685
-40.71428571428572,0.20780509285605814
-35.78571428571429,0.18489201133675434
-30.857142857142858,0.1612796611850971
-25.928571428571438,0.09318123383602503
-21.0,0.01571731655065478
-20.92857142857143,0.014594651082750904
-20.857142857142858,0.01347198561484697
-20.78571428571429,0.012349320146943094
-20.71428571428571,0.011226654679039078
-20.642857142857142,0.0101039892111352
-20.571428571428573,0.008981323743231323
-20.5,0.00785865827532739
-20.42857142857143,0.006735992807423513
-20.357142857142858,0.005613327339519553
-20.28571428571429,0.004490661871615675
-20.21428571428571,0.003367996403711687
-20.142857142857142,0.00224533093580781
-20.0,-0.05888988657381577
-19.0,-0.11279153083136485
-18.0,-0.11210855412656157
-17.0,-0.11332992185426219
-16.0,-0.11436816415079062
-14.999999999999998,-0.11611648027399146
-14.0,-0.11554907065433873
-13.0,-0.11464307736076297
-12.000000000000002,-0.11303299210730058
-11.0,-0.1111523990444102
-10.0,-0.10937324074160382
-9.0,-0.10761655520656098
-8.0,-0.10600246505283029
-7.0,-0.10449826057128381
-6.000000000000001,-0.10278393921298692
-5.0,-0.10130643583587191
-4.0,-0.10002415959780608
-3.0000000000000004,-0.09888576990456113
-2.0,-0.09791838900354191
-1.0,-0.09714706060775885
0.0,-0.09637671593126236
1.0,-0.09584175658724499
2.0,-0.09475904519333465
3.0000000000000004,-0.09361393587933627
4.0,-0.09221171029020761
5.0,-0.0952191995371361
6.000000000000001,-0.10147408286582496
7.0,-0.09434792866803024
8.0,-0.08702823798653062
9.0,-0.08175479780042075
10.0,-0.07695276252771267
11.0,-0.07134018547102236
12.000000000000002,-0.06410390758265429
13.0,-0.05767074439006481
14.0,-0.05208098951101486
14.999999999999998,-0.04682494683364121
16.0,-0.04215488262814286
17.0,-0.038264328723039503
18.0,-0.03556825501560962
19.0,-0.03376155535864417
20.0,-0.03325011100523196
21.0,-0.0340278120985747
25.92857142857143,-0.11322248809998753
30.857142857142858,-0.18354809438806122
35.78571428571429,-0.2117456195377744
40.71428571428571,-0.23835275315165674
45.642857142857146,-0.25557657670413775
50.57142857142858,-0.2726464072609395
55.49999999999999,-0.2885420412256871
60.42857142857143,-0.30449152662045564
65.35714285714285,-0.321006452030444
70.28571428571428,-0.33752494226647345
75.21428571428571,-0.35410136092567057
80.14285714285715,-0.37062819073399217
85.07142857142857,-0.3854937940379821
90.0,-0.4003593973419721
94.92857142857143,-0.40643938920288714
99.85714285714285,-0.4125193810638022
104.78571428571429,-0.4130781558618811
109.71428571428572,-0.4134721182103232
114.64285714285715,-0.4116502654365727
119.57142857142857,-0.40969205480914883
124.49999999999999,-0.41051159036758855
129.42857142857144,-0.4115956731818249
134.35714285714286,-0.42334395061734936
139.2857142857143,-0.4364908109540264
144.21428571428572,-0.4765089039840874
149.14285714285714,-0.5210814432333659
154.07142857142856,-0.6193309976885983
159.0,-0.7288809763977167
160.50000000000003,-0.7385530828942253
162.0,-0.7008868066477693
163.5,-0.6632205304013125
165.00000000000003,-0.6255542541548551
166.5,-0.5878879779083991
168.0,-0.5502217016619423
169.5,-0.5125554254154856
171.0,-0.45
172.5,-0.375
174.0,-0.3
175.5,-0.22499999999999998
177.0,-0.14999999999999997
178.5,-0.07499999999999996
180.0,0.0
