alpha,cm
-28.0,0.001229790642320827
-27.0,-0.003674784750787135
-25.0,-0.012785555871182979
-24.0,0.011100684345763856
-23.0,0.0038453641576529315
-20.0,-0.04184683910415447
-19.0,-0.05208335115827629
-18.0,-0.06353326756791115
-17.0,-0.08097626534899037
-16.0,-0.10169538470806
-15.0,-0.10705536670588385
-14.0,-0.1097765268921784
-13.0,-0.11216802162430502
-12.0,-0.11376898166066045
-11.0,-0.1131017615952037
-10.0,-0.11196525687436153
-9.0,-0.1103503240193
-8.0,-0.10848790028801032
-7.0,-0.10647941914902308
-6.0,-0.10451640764560356
-5.0,-0.10274172932956871
-4.0,-0.1009206620921
-3.0,-0.09914447422698805
-2.0,-0.09756410668338036
-1.0,-0.09603211688812283
0.0,-0.09481092836373059
1.0,-0.09335553803271386
2.0,-0.09128482824856493
4.0,-0.10391841094418847
5.0,-0.10188548200181853
6.0,-0.09624459916909578
7.0,-0.08988786748516538
8.0,-0.08236679835427453
9.0,-0.07592075698352153
10.0,-0.07009276031327907
11.0,-0.06445343095097675
12.0,-0.0587378019421433
13.0,-0.05187758978438392
14.0,-0.044997120683122956
15.0,-0.03964287647909797
16.0,-0.03578041416886308
17.0,-0.033402614848609395
18.0,-0.03228890712878473
19.0,-0.03257502813365565
20.0,-0.03442455178697059
21.0,-0.037791016427244466
22.0,-0.043329668845166563
23.0,-0.051284680007195126
24.0,-0.060532027018485875
25.0,-0.07204502704073724
26.0,-0.08661282386905521
27.0,-0.09929393641677377
28.0,-0.11292718935901686
29.0,-0.12772113896903872
30.0,-0.1413853737474143
