alpha,cm
-30.0,0.011509028066754584
-29.0,0.006230014363342246
-28.0,0.0011156206327194282
-26.0,0.028026805482212973
-25.0,0.020230967619545653
-24.0,0.012359326149086618
-23.0,0.0038269340848924986
-22.0,-0.0026325390879741975
-18.0,-0.05446861177393054
-17.0,-0.06780323830508675
-16.0,-0.08003153032085704
-15.0,-0.09397989686085079
-14.0,-0.09749862896505598
-13.0,-0.102494060989479
-12.0,-0.10557930094313339
-11.0,-0.10887310424487082
-10.0,-0.11059437816374935
-9.0,-0.11077604393185937
-8.0,-0.10942024984923539
-7.0,-0.10788313734756688
-6.0,-0.1062921243068499
-5.0,-0.1045560955675409
-4.0,-0.1026012321639242
-3.0,-0.10044061416695788
-2.0,-0.0982892357117237
-1.0,-0.09616299760378909
0.0,-0.09397326399222347
1.0,-0.09071271199474636
2.0,-0.094796448458136
3.0,-0.10665328379356587
4.0,-0.10130597505046085
5.0,-0.09591475260619785
6.0,-0.09043666841874866
7.0,-0.08510872270042998
8.0,-0.07904658612700276
9.0,-0.07205587917721518
10.0,-0.06520868538788717
11.0,-0.05884232544356918
12.0,-0.05269261661967279
13.0,-0.04671954695422949
14.0,-0.04101058342666527
15.0,-0.035752044783232385
16.0,-0.03261657950120058
17.0,-0.03138218244846628
18.0,-0.03186188798580122
19.0,-0.034241239853613645
20.0,-0.03820269764797156
21.0,-0.043973378433089454
22.0,-0.05212553908922413
23.0,-0.06051012204017403
24.0,-0.07036217421085633
25.0,-0.080731478071655
26.0,-0.09222637673257279
27.0,-0.10342973295897534
28.0,-0.11700663842208153
29.0,-0.12902056641010498
30.0,-0.14572327639801444
