alpha,cd
-180.0,0.001
-178.42857142857142,0.001
-176.85714285714286,0.001
-175.28571428571428,0.001
-173.71428571428572,0.001
-172.14285714285714,0.001
-170.57142857142858,0.001
-169.0,0.001
-167.42857142857142,0.001
-165.85714285714286,0.001
-164.28571428571428,0.001
-162.71428571428572,0.008727055646394075
-161.14285714285714,0.03052880719131658
-159.57142857142858,0.053943823314707
-158.0,0.07890395961442093
-153.14285714285714,0.1650195246827976
-148.28571428571428,0.2627874292510889
-143.42857142857144,0.3695021152640907
-138.57142857142856,0.4822159213286152
-133.71428571428572,0.5978228044285746
-128.85714285714286,0.7131465054926365
-124.0,0.8250306369911716
-119.14285714285712,0.9304281162785685
-114.28571428571428,1.026487387765288
-109.42857142857142,1.1106329696415032
-104.57142857142857,1.1806380241202874
-99.71428571428572,1.2346868793381502
-94.85714285714286,1.2714257195692082
-90.0,1.29
-85.28571428571429,1.2722341938048063
-80.57142857142857,1.2373379327914733
-75.85714285714286,1.1860719809725595
-71.14285714285715,1.1196418644708557
-66.42857142857143,1.0396665149643
-61.714285714285715,0.9481357184513985
-57.00000000000001,0.8473575109666988
-52.285714285714285,0.7398969347206653
-47.57142857142857,0.6285078018456915
-42.85714285714286,0.5160593021835801
-38.142857142857146,0.40545943123403627
-33.42857142857143,0.299577300721876
-28.71428571428572,0.20116642489712977
-24.000000000000004,0.11279104982561389
-24.000000000000004,0.07741873585077456
-23.0,0.06206786229348671
-22.0,0.04989366045159183
-21.0,0.04030759980105499
-20.0,0.032216166310856366
-19.0,0.02665047729952527
-18.0,0.022184442752561245
-17.0,0.019004921464737163
-16.0,0.016619669911552882
-14.999999999999998,0.014747190707908042
-14.0,0.013473537560722042
-13.0,0.012141754684528223
-12.000000000000002,0.011284073130956654
-11.0,0.010476382015113004
-10.0,0.009785677697152988
-9.0,0.009246433032620453
-8.0,0.0088002921511841
-7.0,0.008403859086937776
-6.000000000000001,0.008130082711528949
-5.0,0.007897023181928337
-4.0,0.007438596230108568
-3.0000000000000004,0.006866724552101311
-2.0,0.006379732115746434
-1.0,0.006208793031893977
0.0,0.006176881348662094
1.0,0.006244046245056045
2.0,0.006411267166885654
3.0000000000000004,0.006587614212933032
4.0,0.006732456530873993
5.0,0.006940127613893898
6.000000000000001,0.007219888913832645
7.0,0.007592574513037929
8.0,0.00817085690065397
9.0,0.009092096984212508
10.0,0.009946721385043746
11.0,0.010764717530117597
12.000000000000002,0.011592180084910773
13.0,0.012593227627965942
14.0,0.014051731513315156
14.999999999999998,0.016627877102314628
16.0,0.019636895993348204
17.0,0.02353648805041865
18.0,0.029002513913751818
19.0,0.03603653600556803
20.0,0.04559535394854635
21.0,0.06000953163942926
22.0,0.07890395961442084
26.857142857142858,0.1650195246827977
31.714285714285708,0.26278742925108856
36.57142857142857,0.3695021152640907
41.42857142857142,0.48221592132861496
46.285714285714285,0.5978228044285746
51.14285714285714,0.7131465054926365
55.99999999999999,0.8250306369911716
60.85714285714285,0.9304281162785681
65.71428571428572,1.026487387765288
70.57142857142857,1.110632969641503
75.42857142857143,1.180638024120287
80.28571428571428,1.2346868793381502
85.14285714285712,1.2714257195692078
90.0,1.29
94.85714285714286,1.2714257195692082
99.71428571428572,1.2346868793381502
104.57142857142857,1.1806380241202874
109.42857142857143,1.110632969641503
114.28571428571428,1.026487387765288
119.14285714285712,0.9304281162785685
124.0,0.8250306369911716
128.85714285714286,0.7131465054926365
133.71428571428572,0.5978228044285746
138.57142857142856,0.4822159213286152
143.42857142857144,0.3695021152640907
148.28571428571428,0.2627874292510889
153.14285714285714,0.1650195246827976
158.0,0.07890395961442093
159.57142857142858,0.053943823314707
161.14285714285714,0.03052880719131658
162.71428571428572,0.008727055646394075
164.28571428571428,0.001
165.85714285714286,0.001
167.42857142857142,0.001
169.0,0.001
170.57142857142858,0.001
172.14285714285714,0.001
173.71428571428572,0.001
175.28571428571428,0.001
176.85714285714286,0.001
178.42857142857142,0.001
180.0,0.001
