alpha,cl
-180.0,0.0
-178.42857142857142,0.09265481335830499
-176.85714285714286,0.1853096267166085
-175.28571428571428,0.27796444007491344
-173.71428571428572,0.370619253433217
-172.14285714285714,0.4632740667915219
-170.57142857142858,0.5559288801498254
-169.0,0.6485836935081304
-167.42857142857142,0.7412385068664353
-165.85714285714286,0.8338933202247389
-164.28571428571428,0.9265481335830438
-162.71428571428572,1.0192029469413473
-161.14285714285714,1.1118577602996522
-159.57142857142858,1.2045125736579558
-158.0,1.2971673870162608
-153.14285714285714,1.118996811476511
-148.28571428571428,0.993793543727387
-143.42857142857144,0.8960457104303958
-138.57142857142856,0.8121190604937975
-133.71428571428572,0.7342176302307143
-128.85714285714286,0.6577887907249945
-124.0,0.5802751126336617
-119.14285714285712,0.5004548940054414
-114.28571428571428,0.41806182860309815
-109.42857142857142,0.3335452320267731
-104.57142857142857,0.24790430498961089
-99.71428571428572,0.1625629142446598
-94.85714285714286,0.07926759617959617
-90.0,5.529280298150299e-17
-85.28571428571429,-0.07686853811553004
-80.57142857142857,-0.15758814538622853
-75.85714285714286,-0.24033862748563384
-71.14285714285715,-0.3235040904684908
-66.42857142857143,-0.4057475790113142
-61.714285714285715,-0.48609730748924496
-57.00000000000001,-0.5640510615505844
-52.285714285714285,-0.6397115366916166
-47.57142857142857,-0.7139768433021706
-42.85714285714286,-0.7888329644934107
-38.142857142857146,-0.8678423189017439
-33.42857142857143,-0.957029738891004
-28.71428571428572,-1.0666322860696231
-24.000000000000004,-1.2149126540213149
-24.000000000000004,-1.6277530629805546
-23.0,-1.6635586130923352
-22.0,-1.684566274692766
-21.0,-1.680098961811522
-20.0,-1.6647938943029146
-19.0,-1.6402089055983744
-18.0,-1.5996017465949202
-17.0,-1.5568928225288443
-16.0,-1.501828779756795
-14.999999999999998,-1.4471922536265158
-14.0,-1.386482932523286
-13.0,-1.3092862705326471
-12.000000000000002,-1.2291430497924687
-11.0,-1.1379571436354639
-10.0,-1.0387940306444001
-9.0,-0.9354870276758386
-8.0,-0.8285574006423133
-7.0,-0.7184794197387986
-6.000000000000001,-0.6066566552634002
-5.0,-0.4929594120052409
-4.0,-0.3790651672502784
-2.0,-0.14920348006285056
-1.0,-0.03162779953264601
0.0,0.08653774342968604
1.0,0.20556181324624961
2.0,0.3246475668963107
3.0000000000000004,0.4440108470681619
4.0,0.562826437523093
5.0,0.6812281316701094
6.000000000000001,0.798654253255368
7.0,0.9143140269113008
8.0,1.027199061198473
9.0,1.1349181161679773
10.0,1.2421671245784205
11.0,1.3458132049692932
12.000000000000002,1.4438922607832851
13.0,1.5339511371095178
14.0,1.6218763841928536
14.999999999999998,1.684209343158628
16.0,1.7451425055316099
17.0,1.80263876217243
18.0,1.8481137172059596
19.0,1.8831494601108836
20.0,1.8939015179841636
21.0,1.8833496563501964
22.0,1.8530962671660864
26.857142857142858,1.5985668735378726
31.714285714285708,1.4197050624676963
36.57142857142857,1.2800653006148512
41.42857142857142,1.160170086419711
46.285714285714285,1.0488823289010205
51.14285714285714,0.939698272464278
55.99999999999999,0.8289644466195168
60.85714285714285,0.7149355628649168
65.71428571428572,0.5972311837187116
70.57142857142857,0.4764931886096762
75.42857142857143,0.3541490071280159
80.28571428571428,0.2322327346352283
85.14285714285712,0.11323942311370912
90.0,7.898971854500428e-17
94.85714285714286,-0.07926759617959617
99.71428571428572,-0.1625629142446598
104.57142857142857,-0.24790430498961089
109.42857142857143,-0.33354523202677333
114.28571428571428,-0.41806182860309815
119.14285714285712,-0.5004548940054414
124.0,-0.5802751126336617
128.85714285714286,-0.6577887907249945
133.71428571428572,-0.7342176302307143
138.57142857142856,-0.8121190604937975
143.42857142857144,-0.8960457104303958
148.28571428571428,-0.993793543727387
153.14285714285714,-1.118996811476511
158.0,-1.29716738701626
159.57142857142858,-1.2045125736579558
161.14285714285714,-1.1118577602996522
162.71428571428572,-1.0192029469413473
164.28571428571428,-0.9265481335830438
165.85714285714286,-0.8338933202247389
167.42857142857142,-0.7412385068664353
169.0,-0.6485836935081304
170.57142857142858,-0.5559288801498254
172.14285714285714,-0.4632740667915219
173.71428571428572,-0.370619253433217
175.28571428571428,-0.27796444007491344
176.85714285714286,-0.1853096267166085
178.42857142857142,-0.09265481335830499
180.0,0.0
