Column1,Column2,Column3
-0.495,-0.5420187941829759,-1.649214301987066
-0.485,-0.7471844577279882,-2.3991973581590087
-0.47500000000000003,-0.8783924579226958,-2.909367011539146
-0.465,-0.9751393344416974,-3.29467230144717
-0.455,-1.0514867123431617,-3.6004249079930526
-0.445,-1.1142037524047097,-3.850360445819803
-0.435,-1.1671171125846898,-4.058864142812336
-0.425,-1.2126197391077018,-4.235450109232166
-0.41500000000000004,-1.2523157613534197,-4.386784656884803
-0.405,-1.2873366669559188,-4.51773385157894
-0.395,-1.318512221927428,-4.631960052519676
-0.385,-1.346469871926911,-4.73228614645953
-0.375,-1.371696008132435,-4.820930049576634
-0.365,-1.394575477682749,-4.899662094242224
-0.35500000000000004,-1.4154180605929207,-4.969914252343435
-0.34500000000000003,-1.43447677500322,-5.032858046094881
-0.335,-1.4519608936590438,-5.089461415446205
-0.325,-1.4680454124889115,-5.140531044091623
-0.315,-1.4828780417494465,-5.1867443959887085
-0.305,-1.4965845295933455,-5.228674320707278
-0.295,-1.5092727216660298,-5.266808195522183
-0.28500000000000003,-1.5210357204317038,-5.301562987664555
-0.275,-1.5319543618470235,-5.333297227262705
-0.265,-1.5420992241202898,-5.362320611837023
-0.255,-1.5515322022554363,-5.388901774645637
-0.245,-1.5603078084719755,-5.413274615105072
-0.23500000000000001,-1.5684742160967913,-5.435643492743496
-0.225,-1.576074168868333,-5.456187515349173
-0.215,-1.5831456764978964,-5.475064099539423
-0.20500000000000002,-1.589722620078159,-5.4924119426939875
-0.195,-1.5958352801169413,-5.508353515464128
-0.185,-1.6015107641015847,-5.522997161348732
-0.17500000000000002,-1.606773340244776,-5.536438872311582
-0.165,-1.6116448084645292,-5.548763795796872
-0.155,-1.616144706900215,-5.560047517834052
-0.14500000000000002,-1.6202905733371902,-5.5703571585060905
-0.135,-1.6240981374261663,-5.579752309367979
-0.125,-1.6275814838117613,-5.588285837055299
-0.11499999999999999,-1.6307532068558674,-5.59600457301852
-0.10500000000000001,-1.6336245329971575,-5.602949905833357
-0.095,-1.6362054208276984,-5.609158289698145
-0.08499999999999999,-1.6385046641807692,-5.614661680400876
-0.07500000000000001,-1.6405299908197053,-5.619487908116919
-0.065,-1.642288089538708,-5.623660994802163
-0.05500000000000001,-1.6437847074115508,-5.627201422609578
-0.045,-1.6450246778088413,-5.630126358628139
-0.035,-1.6460119742854296,-5.63244984028061
-0.025,-1.6467497345652806,-5.634182924886458
-0.015,-1.6472402896584792,-5.635333806169788
-0.005,-1.6474851838137117,-5.635907899847337
0.005,-1.64748518164041,-5.635907899847335
0.015,-1.6472402881397865,-5.635333806169787
0.025,-1.646749738990437,-5.634182924886456
0.035,-1.646011978998614,-5.632449840280611
0.045,-1.6450246802963553,-5.630126358628143
0.05500000000000001,-1.6437847078043162,-5.627201422609582
0.065,-1.6422880911097695,-5.623660994802166
0.07500000000000001,-1.640529991317208,-5.619487908116922
0.08499999999999999,-1.638504670386462,-5.614661680400879
0.095,-1.6362054197279554,-5.60915828969815
0.10500000000000001,-1.6336245339659787,-5.602949905833359
0.11499999999999999,-1.6307532091862753,-5.596004573018523
0.125,-1.6275814843878171,-5.5882858370553015
0.135,-1.6240981383426187,-5.579752309367979
0.14500000000000002,-1.6202905717399443,-5.570357158506091
0.155,-1.6161447066907402,-5.560047517834052
0.165,-1.611644808909663,-5.548763795796872
0.17500000000000002,-1.6067733429155804,-5.536438872311582
0.185,-1.6015107597026126,-5.522997161348731
0.195,-1.5958352784673266,-5.508353515464126
0.20500000000000002,-1.589722619790131,-5.4924119426939875
0.215,-1.5831456765502652,-5.475064099539424
0.225,-1.5760741704917633,-5.4561875153491775
0.23500000000000001,-1.5684742166204784,-5.435643492743497
0.245,-1.5603078069532827,-5.413274615105072
0.255,-1.5515322040883412,-5.388901774645637
0.265,-1.542099222601597,-5.362320611837025
0.275,-1.5319543629991352,-5.333297227262705
0.28500000000000003,-1.5210357190701171,-5.301562987664557
0.295,-1.509272723865516,-5.2668081955221835
0.305,-1.4965845307192729,-5.228674320707278
0.315,-1.4828780422731336,-5.1867443959887085
0.325,-1.4680454151073474,-5.140531044091623
0.335,-1.4519608908311332,-5.0894614154462055
0.34500000000000003,-1.4344767720967564,-5.032858046094883
0.35500000000000004,-1.4154180604096303,-4.969914252343435
0.365,-1.3945754796989445,-4.899662094242224
0.375,-1.3716960073730886,-4.820930049576634
0.385,-1.3464698718221735,-4.732286146459533
0.395,-1.3185122226344057,-4.63196005251968
0.405,-1.2873366718262094,-4.517733851578943
0.41500000000000004,-1.252315763055403,-4.386784656884806
0.425,-1.212619738531646,-4.2354501092321675
0.435,-1.167117113553511,-4.058864142812338
0.445,-1.1142037526141846,-3.8503604458198044
0.455,-1.051486710457888,-3.600424907993055
0.465,-0.97513933229458,-3.2946723014471733
0.47500000000000003,-0.8783924554875506,-2.9093670115391466
0.485,-0.747184457780357,-2.3991973581590105
0.495,-0.5420187914336183,-1.6492143019870669
