alpha,cl
-180.0,0.0
-178.57142857142856,0.08673331923199423
-177.14285714285714,0.17346663846398847
-175.71428571428572,0.26019995769598114
-174.28571428571428,0.3469332769279754
-172.85714285714286,0.43366659615996966
-171.42857142857142,0.5203999153919638
-170.0,0.6071332346239565
-168.57142857142858,0.6938665538559508
-167.14285714285714,0.780599873087945
-165.7142857142857,0.8673331923199393
-164.28571428571428,0.9540665115519334
-162.85714285714283,1.0407998307839277
-161.42857142857144,1.1275331500159202
-160.0,1.2142664692479146
-155.0,1.0414980718144682
-150.0,0.9278763181230275
-145.0,0.84298018018306
-140.0,0.7713902182783106
-135.0,0.7045809879536985
-130.0,0.6376843618060438
-125.00000000000001,0.5680161703117569
-119.99999999999999,0.49433035048967683
-115.0,0.41640254843741104
-110.0,0.33477315681653574
-105.0,0.2505712244640529
-100.0,0.1653809078072454
-95.0,0.08113127019008533
-90.0,5.529280298150299e-17
-85.42857142857143,-0.07402265984181465
-80.85714285714285,-0.15081356713125507
-76.28571428571428,-0.22868755294370638
-71.71428571428572,-0.3061221989511677
-67.14285714285714,-0.38181779956175566
-62.57142857142857,-0.45476450267937873
-58.00000000000001,-0.5243205474244503
-53.42857142857142,-0.5903092715839683
-48.857142857142854,-0.6531493123068788
-44.285714285714285,-0.7140452717745864
-39.71428571428571,-0.775292082919006
-35.14285714285713,-0.8408024433305185
-30.57142857142856,-0.9170980949773082
-26.0,-1.0153447625145136
-26.0,-0.6363371974651109
-19.0,-1.5617197803722207
-18.0,-1.6248606822933838
-17.0,-1.6107548215105907
-16.0,-1.5487131733955524
-14.999999999999998,-1.4682680000317965
-14.0,-1.3784092953435165
-13.0,-1.2827872585817879
-12.000000000000002,-1.1851011230421549
-11.0,-1.085399864109421
-10.0,-0.9828879590311925
-9.0,-0.8789796720854725
-8.0,-0.7555995388157628
-7.0,-0.6459424354212332
-6.000000000000001,-0.5410804164791255
-5.0,-0.43063287409018425
-4.0,-0.31925454468137876
-3.0000000000000004,-0.20681969074613232
-2.0,-0.09397342300702301
-1.0,0.01914333711787491
0.0,0.13253927631110962
1.0,0.2430113676417269
2.0,0.35475541067977023
3.0000000000000004,0.46558887547961764
4.0,0.5762639148091317
5.0,0.6859929249782675
6.000000000000001,0.8069983872816586
7.0,0.920574306862518
8.0,1.0239277558270525
9.0,1.1293920546647016
10.0,1.2339417353641298
11.0,1.3366297194893824
12.000000000000002,1.4366331632635938
13.0,1.533805523590859
14.0,1.6249473476219414
14.999999999999998,1.7065487450667471
16.0,1.7810044010170463
17.0,1.8260922921700238
18.0,1.8456016901319223
19.0,1.836510810801605
20.0,1.7346663846398778
25.0,1.4878543883063826
29.999999999999996,1.3255375973186108
35.0,1.2042574002615143
40.0,1.1019860261118724
45.0,1.0065442685052837
49.99999999999999,0.9109776597229198
55.0,0.8114516718739384
59.99999999999999,0.7061862149852529
65.0,0.5948607834820158
70.0,0.4782473668807654
75.0,0.3579588920915041
80.0,0.2362584397246363
85.0,0.11590181455726475
90.0,7.898971854500428e-17
95.0,-0.08113127019008533
100.0,-0.1653809078072454
105.0,-0.2505712244640529
110.0,-0.33477315681653574
115.0,-0.41640254843741104
119.99999999999999,-0.49433035048967683
125.00000000000001,-0.5680161703117569
130.0,-0.6376843618060438
135.0,-0.7045809879536985
140.0,-0.7713902182783106
145.0,-0.84298018018306
149.99999999999997,-0.9278763181230268
155.0,-1.0414980718144682
160.0,-1.2142664692479141
161.42857142857144,-1.1275331500159202
162.85714285714286,-1.0407998307839261
164.28571428571428,-0.9540665115519334
165.7142857142857,-0.8673331923199393
167.14285714285714,-0.780599873087945
168.57142857142858,-0.6938665538559508
170.0,-0.6071332346239565
171.42857142857142,-0.5203999153919638
172.85714285714286,-0.43366659615996966
174.28571428571428,-0.3469332769279754
175.71428571428572,-0.26019995769598114
177.14285714285714,-0.17346663846398847
178.57142857142856,-0.08673331923199423
180.0,0.0
