alpha,cl
-180.0,0.0
-178.57142857142856,0.08808927200585215
-177.14285714285714,0.1761785440117043
-175.71428571428572,0.26426781601755484
-174.28571428571428,0.352357088023407
-172.85714285714286,0.4404463600292592
-171.42857142857142,0.5285356320351112
-170.0,0.6166249040409618
-168.57142857142858,0.704714176046814
-167.14285714285714,0.7928034480526661
-165.7142857142857,0.8808927200585184
-164.28571428571428,0.9689819920643703
-162.85714285714283,1.0570712640702224
-161.42857142857144,1.145160536076073
-160.0,1.2332498080819254
-155.0,1.0557888479104103
-150.0,0.9389055155378017
-145.0,0.8515820009444481
-140.0,0.7781028541225159
-135.0,0.7097802014757199
-130.0,0.6416501880120978
-125.00000000000001,0.5709692198645641
-119.99999999999999,0.4964529205217987
-115.0,0.4178515653637881
-110.0,0.3356884710253339
-105.0,0.25108114362830963
-100.0,0.16560604209999966
-95.0,0.08118733630230326
-90.0,5.529280298150299e-17
-85.21428571428572,-0.07762538158800786
-80.42857142857143,-0.15829936062586555
-75.64285714285714,-0.24010254851423665
-70.85714285714286,-0.32131938914830116
-66.07142857142857,-0.40051497851709095
-61.285714285714285,-0.47662222481647265
-56.5,-0.549045632435655
-51.714285714285715,-0.6177942081124359
-46.92857142857143,-0.6836676471922519
-42.142857142857146,-0.7485432558187718
-37.357142857142854,-0.8158609071340676
-32.57142857142856,-0.8915187079723316
-27.785714285714278,-0.9856858341506096
-23.0,-1.1168823845789664
-23.0,-0.9189379603236091
-19.0,-1.5751584624123969
-18.0,-1.6329360497002217
-17.0,-1.6151100334861048
-16.0,-1.5523401835861619
-14.999999999999998,-1.4713313471469451
-14.0,-1.380837394660858
-13.0,-1.2847297432407607
-12.000000000000002,-1.185736067125452
-11.0,-1.0863467136485965
-10.0,-0.9838643265907122
-9.0,-0.8779914441404796
-8.0,-0.7555272807028799
-7.0,-0.6477050510345956
-6.000000000000001,-0.5419044260499982
-5.0,-0.43116186255127553
-4.0,-0.3196137463622831
-3.0000000000000004,-0.20708665169054294
-2.0,-0.09415656856582044
-1.0,0.01905731904244214
0.0,0.1324923587857872
1.0,0.24325778826093966
2.0,0.3551514042123477
3.0000000000000004,0.46617328023283733
4.0,0.5770688270931058
5.0,0.6859205057638041
6.000000000000001,0.8055611185413158
7.0,0.9207910309670587
8.0,1.0243317803147816
9.0,1.1298279913000582
10.0,1.2345278769829446
11.0,1.3373660589932335
12.000000000000002,1.4378143867037478
13.0,1.535180648855159
14.0,1.626436013216405
14.999999999999998,1.70960001720938
16.0,1.7853143954342103
17.0,1.8338759201883146
18.0,1.8548249600431088
19.0,1.848501668722127
20.0,1.7617854401170359
25.0,1.5082697827291571
29.999999999999996,1.341293593625431
35.0,1.216545715634926
40.0,1.1115755058893084
45.0,1.0139717163938855
49.99999999999999,0.9166431257315684
55.0,0.8156703140922343
59.99999999999999,0.7092184578882841
65.0,0.5969308076625545
70.0,0.4795549586076199
75.0,0.3586873480404424
80.0,0.23658006014285665
85.0,0.11598190900329038
90.0,7.898971854500428e-17
95.0,-0.08118733630230326
100.0,-0.16560604209999966
105.0,-0.25108114362830963
110.0,-0.3356884710253339
115.0,-0.4178515653637881
119.99999999999999,-0.4964529205217987
125.00000000000001,-0.5709692198645641
130.0,-0.6416501880120978
135.0,-0.7097802014757199
140.0,-0.7781028541225159
145.0,-0.8515820009444481
149.99999999999997,-0.9389055155378012
155.0,-1.0557888479104103
160.0,-1.233249808081925
161.42857142857144,-1.145160536076073
162.85714285714286,-1.057071264070221
164.28571428571428,-0.9689819920643703
165.7142857142857,-0.8808927200585184
167.14285714285714,-0.7928034480526661
168.57142857142858,-0.704714176046814
170.0,-0.6166249040409618
171.42857142857142,-0.5285356320351112
172.85714285714286,-0.4404463600292592
174.28571428571428,-0.352357088023407
175.71428571428572,-0.26426781601755484
177.14285714285714,-0.1761785440117043
178.57142857142856,-0.08808927200585215
180.0,0.0
