AOA	CL	CD
0	0.43683274	0.009083995
1	0.523041057	0.010126067
2	0.653445037	0.010751922
3	0.784919929	0.011377776
4	0.886120996	0.01200363
5	0.987322064	0.012629484
6	1.088523131	0.013255338
7	1.189724199	0.014752729
8	1.290925267	0.018684229
9	1.368772242	0.022615729
10	1.436239621	0.026547228
11	1.503706999	0.033537411
12	1.556346382	0.046469774
13	1.595702353	0.059402137
14	1.635058324	0.087266739
15	1.631598458	0.112632145
16	1.552886517	0.131870134
17	1.474174575	0.145104556
18	1.426045374	0.156216571
19	1.378255981	0.167328585
20	1.330466588	0.178440599
21	1.300881207	0.189552613
22	1.275179348	0.201793126
23	1.249477489	0.218678375
24	1.223775631	0.235563624
25	1.198073772	0.252448873
26	1.174896203	0.269334123
27	1.158029359	0.286219372
28	1.141162514	0.303104621
29	1.12429567	0.321903917
30	1.107428825	0.341141906
31	1.090561981	0.360379894
32	1.073695136	0.379617882
33	1.056828292	0.39885587
34	1.041298213	0.418093858
35	1.028009184	0.438158852
36	1.014720155	0.459402255
37	1.001431126	0.480645659
38	0.988142097	0.501889062
39	0.974853068	0.523132465
40	0.961564039	0.544375868
41	0.94827501	0.565087438
42	0.934985981	0.585663515
43	0.921559905	0.606239592
44	0.908066429	0.626815668
45	0.894572953	0.647391745
46	0.881079478	0.667967822
47	0.867586002	0.688543898
48	0.854092526	0.709119975
49	0.840599051	0.729696052
50	0.827105575	0.750272128
51	0.813612099	0.770848205
52	0.800118624	0.793338692
53	0.786625148	0.817240019
54	0.773131672	0.841141346
55	0.755702038	0.865042672
56	0.737301844	0.888943999
57	0.71890165	0.912845326
58	0.700501456	0.929897195
59	0.682101262	0.946520154
60	0.663701068	0.963143113
61	0.645300874	0.979766071
62	0.62690068	0.99638903
63	0.608096086	1.013011989
64	0.585606959	1.029634948
65	0.563117833	1.048255269
66	0.540628707	1.067493257
67	0.518139581	1.086731245
68	0.495650455	1.105969233
69	0.473161328	1.12520722
70	0.450672202	1.143418703
71	0.428183076	1.156351066
72	0.405351765	1.16928343
73	0.381997673	1.182215794
74	0.35864358	1.195148157
75	0.335289488	1.206802875
76	0.311935395	1.216544094
77	0.288581303	1.226285313
78	0.26522721	1.236026532
79	0.241873118	1.245767751
80	0.218519025	1.25550897
81	0.195164933	1.26274193
82	0.171782325	1.269588923
83	0.148168742	1.276435917
84	0.12455516	1.283282911
85	0.100941578	1.286818973
86	0.077327995	1.290099674
87	0.053714413	1.293380374
88	0.03010083	1.296661074
89	0.006487248	1.299210455
90	-0.015535177	1.299221139
91	-0.031104572	1.299231823
92	-0.046673967	1.299242507
93	-0.062243362	1.29925319
94	-0.077812757	1.298125029
95	-0.093382152	1.296019354
96	-0.108951547	1.293913678
97	-0.124520942	1.291808002
98	-0.140090337	1.289702327
99	-0.155659732	1.287136959
100	-0.171229127	1.279691091
101	-0.186798522	1.272245224
102	-0.202367917	1.264799356
103	-0.217937312	1.257353488
104	-0.233506707	1.249163841
105	-0.249076102	1.240042054
106	-0.264645497	1.230920267
107	-0.280214892	1.22179848
108	-0.295784287	1.212676693
109	-0.311353682	1.200819113
110	-0.326923077	1.188324538
111	-0.34110413	1.175829963
112	-0.354457048	1.163335388
113	-0.367809967	1.15013469
114	-0.381162886	1.134068306
115	-0.394515804	1.118001922
116	-0.407868723	1.101935538
117	-0.421221642	1.085435129
118	-0.43457456	1.068195631
119	-0.447927479	1.050956134
120	-0.461280397	1.033716636
121	-0.474633316	1.016477138
122	-0.487986235	0.999182042
123	-0.501339153	0.978994959
124	-0.512013584	0.958807875
125	-0.522596702	0.938620792
126	-0.53317982	0.918433709
127	-0.543762938	0.894136513
128	-0.554346056	0.864788759
129	-0.564929174	0.835441004
130	-0.575512293	0.809706687
131	-0.586095411	0.788655884
132	-0.596678529	0.76760508
133	-0.607261647	0.746554276
134	-0.617844765	0.725503472
135	-0.628427884	0.704452668
136	-0.639011002	0.683401864
137	-0.649106084	0.662351059
138	-0.658744281	0.641300255
139	-0.668382477	0.619834714
140	-0.678020674	0.597422955
141	-0.687658871	0.575011196
142	-0.697297068	0.552599437
143	-0.706935265	0.530187678
144	-0.716573462	0.507775919
145	-0.726211659	0.484629397
146	-0.735849856	0.461473397
147	-0.745488053	0.438317397
148	-0.755832345	0.415161397
149	-0.767076908	0.392005397
150	-0.778321471	0.372840646
151	-0.789566034	0.355601148
152	-0.800810597	0.33836165
153	-0.81205516	0.321122152
154	-0.827642208	0.303882655
155	-0.843705869	0.286616764
156	-0.859769531	0.269295675
157	-0.875833192	0.251974586
158	-0.891896854	0.234653497
159	-0.911106169	0.217332408
160	-0.935844208	0.200011319
161	-0.960582246	0.18269023
162	-0.985320285	0.166705221
163	-1.019811849	0.152392208
164	-1.068538288	0.138079196
165	-1.166444249	0.123766183
166	-1.087732304	0.10945317
167	-1.015775337	0.095600801
168	-0.952056147	0.087527277
169	-0.885021251	0.079453754
170	-0.778197903	0.07138023
171	-0.685275801	0.063306706
172	-0.60656386	0.055233183
173	-0.538107949	0.047159659
174	-0.470640571	0.043761817
175	-0.397118428	0.040948199
176	-0.318406484	0.038134581
177	-0.239694541	0.035320963
178	-0.1609826	0.032507345
179	-0.08227066	0.030941224
180	-0.003558719	0.030951908
