alpha,cl
-29.0,-0.42891867503197206
-28.0,-0.41235013749149274
-27.0,-0.3959407546835282
-25.0,-0.37279718732268724
-24.0,-0.5969304432832153
-23.0,-0.7035624160299642
-22.0,-0.721165005235992
-21.0,-0.7314765506953915
-20.0,-0.7603190947625159
-19.0,-0.8651772910716196
-18.0,-1.281041007692162
-17.0,-1.2920283367338907
-16.0,-1.2117250100462786
-15.0,-1.1185019896077013
-14.0,-1.0035155648715768
-13.0,-0.9022374852659357
-12.0,-0.8028353654670773
-11.0,-0.7009903995623122
-10.0,-0.5991172837267862
-9.0,-0.49621899766617383
-8.0,-0.3923683497177822
-7.0,-0.2874253241889999
-5.0,-0.07740134484631393
-4.0,0.0292769667608118
-3.0,0.13687454497626786
-2.0,0.24454533300242118
-1.0,0.35318978046978156
0.0,0.4619777995802948
1.0,0.5708456927075589
2.0,0.6762852890732468
3.0,0.780147188902122
4.0,0.8994345663149161
5.0,1.0422480104736114
6.0,1.1487311143218408
7.0,1.2210713876797912
8.0,1.2908420234732563
9.0,1.3701971721084556
10.0,1.4493594440635509
11.0,1.523453197690086
12.0,1.5848431700274077
13.0,1.6338468420028491
14.0,1.6823769299329632
15.0,1.724579097945312
16.0,1.7595101722658133
17.0,1.7839222725239896
18.0,1.8002636642534877
19.0,1.7995630730473828
20.0,1.7952314560995246
21.0,1.77093690686288
22.0,1.7412574282761109
23.0,1.7137361884247186
24.0,1.681751035934479
25.0,1.6408384654921966
26.0,1.6109849114484172
27.0,1.5830810487208498
28.0,1.5551916751928592
29.0,1.5282122079625668
30.0,1.5126771416170832
