alpha,cl
-180.0,0.0
-178.5,0.0887291862219213
-177.0,0.1774583724438411
-175.5,0.2661875586657624
-174.0,0.35491674488768377
-172.5,0.44364593110960354
-171.0,0.5323751173315248
-169.5,0.621104303553446
-168.0,0.709833489775366
-166.5,0.7985626759972873
-165.00000000000003,0.8872918622192071
-163.5,0.9760210484411284
-162.0,1.0647502346630495
-160.50000000000003,1.1534794208849695
-159.0,1.2422086071068907
-154.07142857142858,1.06136549254655
-149.14285714285714,0.9376879126156644
-144.21428571428572,0.8432154285789174
-139.2857142857143,0.7634013943974474
-134.35714285714286,0.6900650340718288
-129.42857142857144,0.6184689612435367
-124.49999999999999,0.5459510964619446
-119.57142857142857,0.4712175880246815
-114.64285714285715,0.3939426254181273
-109.71428571428572,0.31452019598898134
-104.78571428571429,0.23389474461830465
-99.85714285714286,0.15343445711542086
-94.92857142857143,0.0748286578210485
-90.0,5.143516556418884e-17
-85.07142857142857,-0.0748286578210485
-80.14285714285715,-0.15343445711542067
-75.21428571428571,-0.23389474461830465
-70.28571428571429,-0.31452019598898107
-65.35714285714286,-0.3939426254181271
-60.42857142857143,-0.4712175880246815
-55.5,-0.5459510964619447
-50.57142857142858,-0.6184689612435365
-45.642857142857146,-0.6900650340718287
-40.71428571428572,-0.763401394397447
-35.78571428571429,-0.8432154285789171
-30.857142857142858,-0.9376879126156644
-25.928571428571438,-1.0613654925465497
-21.0,-1.2422086071068914
-20.92857142857143,-1.2078018874658993
-20.857142857142858,-1.1733951678249073
-20.78571428571429,-1.1389884481839152
-20.71428571428571,-1.1045817285429216
-20.642857142857142,-1.0701750089019293
-20.571428571428573,-1.0357682892609372
-20.5,-1.0013615696199452
-20.42857142857143,-0.9669548499789531
-20.357142857142858,-0.932548130337961
-20.28571428571429,-0.898141410696969
-20.21428571428571,-0.8637346910559753
-20.142857142857142,-0.8293279714149833
-20.0,-0.760514532132999
-19.0,-0.8682164006435057
-18.0,-1.30117780950686
-17.0,-1.2959164014229723
-16.0,-1.2106611675087509
-14.999999999999998,-1.1181450614192834
-14.0,-1.003223259364602
-13.0,-0.9038478161037496
-12.000000000000002,-0.8030867923663023
-11.0,-0.7017527392960796
-10.0,-0.5998282770690859
-9.0,-0.4970093069894682
-8.0,-0.3930624430617484
-7.0,-0.28801610673222683
-6.000000000000001,-0.18359460062083655
-5.0,-0.07759450704019924
-4.0,0.029003778851940273
-3.0000000000000004,0.13692093126397167
-2.0,0.2444684061961949
-1.0,0.3532335510135335
0.0,0.4621256465961168
1.0,0.5711798869766725
2.0,0.6768023386730553
3.0000000000000004,0.7807850001817778
4.0,0.8952758749641403
5.0,1.039846519282676
6.000000000000001,1.1494520527330885
7.0,1.221797812245508
8.0,1.291974577886935
9.0,1.3712391589239865
10.0,1.4508623778216074
11.0,1.5248364298672492
12.000000000000002,1.585174847422273
13.0,1.634963647011504
14.0,1.684626756019798
14.999999999999998,1.726855599411723
16.0,1.7623100515816463
17.0,1.7880074586177164
18.0,1.803874103988142
19.0,1.8060685776130323
20.0,1.8005137041756532
21.0,1.7745837244384164
25.92857142857143,1.5162364179236425
30.857142857142858,1.3395541608795207
35.78571428571429,1.204593469398453
40.71428571428571,1.0905734205677815
45.642857142857146,0.9858071915311841
50.57142857142858,0.8835270874907665
55.49999999999999,0.7799301378027783
60.42857142857143,0.6731679828924022
65.35714285714285,0.5627751791687533
70.28571428571428,0.44931456569854483
75.21428571428571,0.33413534945472095
80.14285714285715,0.2191920815934581
85.07142857142857,0.10689808260149787
90.0,7.34788079488412e-17
94.92857142857143,-0.0748286578210485
99.85714285714285,-0.15343445711542067
104.78571428571429,-0.23389474461830465
109.71428571428572,-0.31452019598898134
114.64285714285715,-0.3939426254181273
119.57142857142857,-0.4712175880246815
124.49999999999999,-0.5459510964619446
129.42857142857144,-0.6184689612435367
134.35714285714286,-0.6900650340718288
139.2857142857143,-0.7634013943974474
144.21428571428572,-0.8432154285789174
149.14285714285714,-0.9376879126156644
154.07142857142856,-1.0613654925465497
159.0,-1.2422086071068918
160.50000000000003,-1.1534794208849695
162.0,-1.0647502346630495
163.5,-0.9760210484411284
165.00000000000003,-0.8872918622192071
166.5,-0.7985626759972873
168.0,-0.709833489775366
169.5,-0.621104303553446
171.0,-0.5323751173315248
172.5,-0.44364593110960354
174.0,-0.35491674488768377
175.5,-0.2661875586657624
177.0,-0.1774583724438411
178.5,-0.0887291862219213
180.0,0.0
