Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51
-11.0,-0.9038681589367821,-0.9788363499320619,-0.9495882728894184,-0.9308715205690449,-0.9368784717820912,-0.9524427786486767,-0.9604732843384504,-0.9810484308671749,-0.9999617908048165,-1.0148773386768675,-1.0126091670050763,-1.027729147067952,-1.0418142414861287,-1.053713174516598,-1.0642086562891186,-1.0738544523606912,-1.0823862679320448,-1.0894368133967105,-1.0943612422608229,-1.096276771542395,-1.0942544453586993,-1.1025867986125408,-1.1107896782685773,-1.118593781904228,-1.1259306032830754,-1.1307395353378933,-1.1300553297562463,-1.1293416154327385,-1.1286148450353857,-1.1278923394324456,-1.1271858766787557,-1.1264827694752095,-1.1257833277773905,-1.125093973393616,-1.1244181354593947,-1.1237499295959388,-1.123105034746553,-1.1224958624703034,-1.1219468662525394,-1.1214986866522472,-1.121399547572192,-1.1262407547609476,-1.126938798718783,-1.1274237086395398,-1.1277178798898069,-1.1278479850415255,-1.1278230713880375,-1.1275908869151203,-1.1270850328266426,-1.1263951180961393
-10.0,-0.9224467741349388,-0.9146375705841973,-0.874431578241086,-0.8800887861775111,-0.8897739732075729,-0.9136117851435975,-0.9356799884549248,-0.9400611970872026,-0.9626644963468763,-0.9816768926323429,-0.9989708696843079,-1.0102566511660134,-1.0092822461531394,-1.0271071405292527,-1.025908566364262,-1.0245480407307306,-1.0231620178914054,-1.0218514918088712,-1.0207084563869686,-1.0200056291212276,-1.0209745549140279,-1.0215723291561518,-1.0216636828974237,-1.0213349084321568,-1.020608217034087,-1.0195354748592458,-1.0180371452104413,-1.0168053602852523,-1.0159042473140538,-1.014550622732785,-1.014811415815883,-1.0140514366101419,-1.0125267705729168,-1.010381589870536,-1.0076974157165652,-1.004530055626103,-1.000928982829617,-0.9969402092053472,-0.9926073261680799,-0.9879761863414969,-0.98309917800257,-0.9780682774354564,-0.9730446553457767,-0.9679008611333447,-0.9626183945646011,-0.9572641434519321,-0.9521939832926997,-0.9468455846539918,-0.9416663311166963,-0.9369283298119202
-9.0,-0.8926239660645097,-0.8375498408386721,-0.8258466869181196,-0.8431438148833337,-0.8768367012413804,-0.8927510723123059,-0.929410928681891,-0.9245348366678058,-0.9177304134118025,-0.9129696283593134,-0.9140524153654401,-0.913468372569831,-0.91217584461547,-0.9121226473275033,-0.9099035388141712,-0.9094549519795381,-0.9069330515872749,-0.9031590871253837,-0.8991135122342737,-0.8947498329126471,-0.8897507373185638,-0.8846578008657228,-0.8789544933695408,-0.8728448619706384,-0.8662737495450293,-0.8593974407046915,-0.8523980775886222,-0.8462032790824359,-0.8412089612567539,-0.8381023547948815,-0.8381538552082183,-0.8401778577842003,-0.8428612495015688,-0.8457664879110633,-0.84832910044383,-0.8513473573354087,-0.8532966283852524,-0.8552977510445317,-0.8574858891351771,-0.8591139795740684,-0.8604454376225763,-0.8618017297073448,-0.8632634480628869,-0.8645717284679827,-0.8654869612618153,-0.8666420099201984,-0.8680688817099551,-0.869560353703547,-0.8710569013568124,-0.8722323361407164
-8.0,-0.808372011424282,-0.7923247405086551,-0.8309236871912118,-0.8302150434414393,-0.8140862613716339,-0.8079342312780078,-0.8039769152183908,-0.8016990154525256,-0.795176038237996,-0.7905902380951884,-0.7855344093181849,-0.7782875724712363,-0.7698109762105866,-0.7612133679808738,-0.7537057320800188,-0.7464755758210683,-0.7433017624032571,-0.7425755061915569,-0.7438880863903312,-0.7456775612403929,-0.7485457120185974,-0.7515664667766109,-0.7544599435095942,-0.7573643559999261,-0.7595484305605189,-0.7618619630706914,-0.764156857710112,-0.7657474718049501,-0.7673724792434267,-0.7690871677368579,-0.7707477943705818,-0.7718738383385105,-0.7729923309816799,-0.7741463640085138,-0.7753610902954331,-0.7765776478670496,-0.7774528577776996,-0.7785386072724001,-0.7796165922081522,-0.7806918891056762,-0.7817732528463504,-0.7828613297226455,-0.7839297541665879,-0.784923722206728,-0.7856473531115465,-0.7863698423653075,-0.7870832005369786,-0.7877895597166618,-0.7884919431900872,-0.7891938406017711
-7.0,-0.7555280716316062,-0.775320588332385,-0.7197815412583352,-0.6992830361568225,-0.6885826362782134,-0.6765976306191359,-0.6676842117352305,-0.656594471826563,-0.6498895671440419,-0.646635834015271,-0.6467985765929829,-0.6499467373907504,-0.6531070393066757,-0.6562413498925964,-0.6586341494566831,-0.6612642312857403,-0.6634336322540623,-0.6660558290266011,-0.6688159002526906,-0.6705549965349862,-0.6723450643786052,-0.6741546759390669,-0.6758157272264805,-0.6769290884570452,-0.6780703203151733,-0.679246382279372,-0.6805055288703714,-0.6818024058073704,-0.6828173781567232,-0.6838437467417593,-0.6848574979639153,-0.6858651198474237,-0.6868766232128354,-0.6878931118686838,-0.6888852125876678,-0.6897197713024257,-0.6903580101832609,-0.6909885124945047,-0.6916124153737601,-0.6922325571458435,-0.6928535348075143,-0.6934620170235911,-0.6940747461039402,-0.6946847820731918,-0.6952704323869932,-0.6957757124827245,-0.6961649844410268,-0.6965690166061926,-0.6969885899349756,-0.6974233506012532
-6.0,-0.7723383882282153,-0.6684886531158529,-0.6101792675856319,-0.581919192430439,-0.5677966779263012,-0.562601657569564,-0.561615973543928,-0.5629859276440764,-0.5654036473845996,-0.5675030786678518,-0.5699585907661227,-0.5716954980608033,-0.5739004770065447,-0.5761677222960029,-0.5771042168123863,-0.5784935010138098,-0.5803292483021896,-0.5819331575270547,-0.5828780479058345,-0.5837917001589746,-0.5847546787211272,-0.5859657859638152,-0.587252354491706,-0.5880872172488903,-0.5889063891888384,-0.5897034375117675,-0.5904868240171639,-0.5912366831231307,-0.5919522676798364,-0.5924827634563067,-0.5929348011552382,-0.5934935356709762,-0.5941298131007948,-0.5947617698981362,-0.5953925559364858,-0.5960212249644964,-0.5966356958170431,-0.5972061412782058,-0.5976546779404854,-0.5979594155255428,-0.5982566287484071,-0.5985549367529845,-0.5988525389900594,-0.5991698407838855,-0.5995178398023621,-0.5999006758790191,-0.6003175463583692,-0.6007680058082449,-0.6012438744278047,-0.6017012996602753
-5.0,-0.7495854185208246,-0.5622116727858383,-0.5206619016688739,-0.5144412633704146,-0.5138509246967408,-0.5129864885342856,-0.5100296116281346,-0.5048254644542,-0.5010985284414867,-0.49876764953998437,-0.49766887531330145,-0.49626342407612206,-0.4957454093954449,-0.49579371411508605,-0.4958460644809192,-0.49558634016675623,-0.495823938750894,-0.4960519824821149,-0.4964649014566607,-0.4961039279575283,-0.4964865226360399,-0.49658655450265965,-0.49655148435965746,-0.49716627465780705,-0.4975527827653748,-0.49739501198009495,-0.49736302863000365,-0.49775154534427485,-0.4980987516482804,-0.4983757940957333,-0.4985841762607695,-0.4987860551192927,-0.4991163956517963,-0.49950165871553087,-0.4998127365900947,-0.5001076891229895,-0.5003805296470868,-0.5006264007494861,-0.5008478638744176,-0.5010402352677825,-0.5012309296845823,-0.5014523169538049,-0.5017255532724987,-0.5020448278636029,-0.5023969046595413,-0.5026380628607506,-0.5028775325728615,-0.5031118949180396,-0.5033397904459713,-0.5035598506718996
-4.0,-0.5944512908384956,-0.42906171555648365,-0.41807946834118753,-0.41883614417246806,-0.4190560030540121,-0.4198542133221918,-0.42119609162794824,-0.4225543518417696,-0.4235149568503158,-0.42428082631379915,-0.42516935045614984,-0.4257584805999269,-0.4261325328443297,-0.42601478972725615,-0.42637220355950645,-0.42608495323143764,-0.4248381806385707,-0.42292510465695304,-0.42096469905805267,-0.41926500840546654,-0.4177895549062457,-0.4162947272058035,-0.41492125860132717,-0.41367855846985035,-0.41267256925971585,-0.41211303388456677,-0.4112729099104477,-0.41087579587083967,-0.41028718237578315,-0.40974949716064846,-0.40905265320630213,-0.40885194551555204,-0.40824882891716413,-0.4080791941568517,-0.4080988991516592,-0.40778598475452005,-0.40757484794276966,-0.4077292881002019,-0.40773396444720694,-0.40741603932133574,-0.40706317515224505,-0.407052771452651,-0.4071260430084741,-0.4071897904858573,-0.40703330956276246,-0.4068200899441573,-0.4067091084718368,-0.4068530575876938,-0.40702019174954873,-0.407123808636419
-3.0,-0.44693442867341526,-0.3190013702627782,-0.31952202386780326,-0.3190164739530087,-0.31855746315258493,-0.31860389618062546,-0.31909800922150083,-0.31972010614489643,-0.3206547192025144,-0.32188049581449696,-0.32176966540979685,-0.3227389368531194,-0.3232494711335255,-0.3236284119666421,-0.32406361143671064,-0.3242030022336185,-0.3244970062509665,-0.3252994830021934,-0.3254669033519649,-0.32532989652379907,-0.32545687844804233,-0.3258546456101231,-0.32614776468137346,-0.3262695029949604,-0.3262303573020122,-0.3263570839299165,-0.32637930882616656,-0.32622697156301766,-0.32594552163190954,-0.32606507723730627,-0.32611220484424824,-0.3258986035382825,-0.3256578932000722,-0.3256230895709414,-0.3251011488382818,-0.3245291846972775,-0.32410345827139275,-0.3232504814387537,-0.32281832867873084,-0.32185265883033326,-0.32141606283413066,-0.3205209424406473,-0.32018054195731455,-0.3194712898883529,-0.31903254410473675,-0.3186699860804817,-0.3179623556104437,-0.3176254567846783,-0.31722785793672437,-0.31656241179284905
-2.0,-0.26746925144111416,-0.2107672525103769,-0.2143734320813716,-0.21496947261421742,-0.21544217877215233,-0.2156139737824755,-0.21545548882610804,-0.21576913517077392,-0.2157383109432257,-0.2161329267676019,-0.21661292633218754,-0.21652306020849024,-0.21707659543713567,-0.2173839748611909,-0.21750478929294714,-0.2179874366240218,-0.21820908490013294,-0.21824483426426095,-0.21810261709535206,-0.21838709616665886,-0.21888484278465115,-0.21902576390568002,-0.21877538567134955,-0.21851672655371937,-0.21876031655542233,-0.21895576621548307,-0.21909413144102852,-0.21917259331915714,-0.21920326234788348,-0.21928629543367664,-0.2193223713174295,-0.2194180120830884,-0.21950017078272657,-0.21956412701510925,-0.21960567155314276,-0.21962062395562604,-0.21960981338752744,-0.21959209787464642,-0.21961150757788084,-0.21974542700323563,-0.21994230641995996,-0.22011174992630664,-0.22010806760322796,-0.22008829418345496,-0.22004097681329324,-0.2199561595540772,-0.21983019197427117,-0.21968151065502312,-0.21957002533580083,-0.21959181564420407
