alpha,cm
-180.0,0.0
-178.42857142857142,0.06285714285714335
-176.85714285714286,0.12571428571428556
-175.28571428571428,0.1885714285714289
-173.71428571428572,0.2514285714285711
-172.14285714285714,0.31428571428571445
-170.57142857142858,0.37714285714285667
-169.0,0.418347706105789
-167.42857142857142,0.4471798157006004
-165.85714285714286,0.47601192529541125
-164.28571428571428,0.5048440348902227
-162.71428571428572,0.5336761444850335
-161.14285714285714,0.562508254079845
-159.57142857142858,0.5765815115655234
-158.0,0.5512978300935135
-153.14285714285714,0.473148269180029
-148.28571428571428,0.4080321545379728
-143.42857142857144,0.36681069139353517
-138.57142857142856,0.3345310095673654
-133.71428571428572,0.3237116029050397
-128.85714285714286,0.3156538691194952
-124.0,0.3165715721834899
-119.14285714285712,0.31799229478663676
-114.28571428571428,0.32176044190582687
-109.42857142857142,0.32522272106172156
-104.57142857142857,0.3263909904929009
-99.71428571428572,0.32720313385861516
-94.85714285714286,0.32231726017688905
-90.0,0.3174313864951629
-85.28571428571429,0.3010976060976608
-80.57142857142857,0.28476382570015857
-75.85714285714286,0.2649103173428403
-71.14285714285715,0.24457132926692676
-66.42857142857143,0.2234743734356351
-61.714285714285715,0.20213486792262247
-57.00000000000001,0.18165820430653204
-52.285714285714285,0.1616745932029685
-47.57142857142857,0.142633819037362
-42.85714285714286,0.12448042081336211
-38.142857142857146,0.10511267041189976
-33.42857142857143,0.08387668589126446
-28.71428571428572,0.040938011652562764
-24.000000000000004,-0.059874501834316404
-24.000000000000004,-0.059874501834316404
-23.0,-0.06389765640995908
-22.0,-0.06526550360665055
-21.0,-0.06450978301919459
-20.0,-0.0617792782254062
-19.0,-0.0573333374001847
-18.0,-0.05160373798659839
-17.0,-0.04452840732569689
-16.0,-0.037288855384585484
-14.999999999999998,-0.02857121846374161
-14.0,-0.019426963010866462
-13.0,-0.013367853217034592
-12.000000000000002,-0.006895065469519045
-11.0,-0.002184261978059202
-10.0,0.0009707149737601604
-9.0,0.0032107172101097084
-8.0,0.004854443220217223
-7.0,0.005875158200082547
-6.000000000000001,0.006493934984539909
-5.0,0.006730889258792221
-4.0,0.006836250242045794
-3.0000000000000004,0.006619385593986843
-2.0,0.006201550649954955
-1.0,0.005350749721421269
0.0,0.0043021542411468125
1.0,0.0031170267141742386
2.0,0.0018500886333536917
3.0000000000000004,0.0005184662707899637
4.0,-0.0008441270975189114
5.0,-0.0021986113016499507
6.000000000000001,-0.003483056810247281
7.0,-0.004582611955372727
8.0,-0.0053267470722632585
9.0,-0.0052380785006646115
10.0,-0.004905431444539837
11.0,-0.0041190837745265566
12.000000000000002,-0.002326235696696221
13.0,0.0007583407856808519
14.0,0.002071080376059365
14.999999999999998,0.007151019746017612
16.0,0.011097760988780856
17.0,0.013899850038745118
18.0,0.016002317575605222
19.0,0.016656165228734306
20.0,0.01599775485494758
21.0,0.013451298782475175
22.0,0.009126130362082693
26.857142857142858,-0.05502606261276198
31.714285714285708,-0.10545163386537604
36.57142857142857,-0.1307117319605674
41.42857142857142,-0.15338829788312092
46.285714285714285,-0.1698643865913437
51.14285714285714,-0.18623235857849954
55.99999999999999,-0.20224895122218772
60.85714285714285,-0.21843863977762773
65.71428571428572,-0.23543610925457611
70.57142857142857,-0.2524525421372618
75.42857142857143,-0.26961120056297816
80.28571428571428,-0.28666540786455263
85.14285714285712,-0.3020483971798577
90.0,-0.3174313864951629
94.85714285714286,-0.32231726017688905
99.71428571428572,-0.32720313385861516
104.57142857142857,-0.32639099049290093
109.42857142857143,-0.3252227210617216
114.28571428571428,-0.32176044190582687
119.14285714285712,-0.31799229478663676
124.0,-0.3165715721834899
128.85714285714286,-0.3156538691194952
133.71428571428572,-0.3237116029050397
138.57142857142856,-0.3345310095673654
143.42857142857144,-0.36681069139353517
148.28571428571428,-0.40803215453797287
153.14285714285714,-0.47314826918002906
158.0,-0.5512978300935135
159.57142857142858,-0.5765815115655234
161.14285714285714,-0.5739368255084164
162.71428571428572,-0.5608190016278908
164.28571428571428,-0.5477011777473655
165.85714285714286,-0.5345833538668399
167.42857142857142,-0.5214655299863146
169.0,-0.5083477061057889
170.57142857142858,-0.4714285714285708
172.14285714285714,-0.39285714285714307
173.71428571428572,-0.31428571428571384
175.28571428571428,-0.2357142857142861
176.85714285714286,-0.15714285714285692
178.42857142857142,-0.07857142857142918
180.0,0.0
