alpha,cd
-24.0,0.20734965197897895
-23.0,0.18981712407961518
-22.0,0.17089932227002996
-21.0,0.14972471479158303
-20.0,0.11704183712686586
-19.0,0.030702860390378763
-18.0,0.02295529547041948
-17.0,0.019561225679120435
-16.0,0.017130395427386404
-15.0,0.015182522506725752
-14.0,0.013176513779429595
-13.0,0.011741173522151406
-12.0,0.010703073255579584
-11.0,0.009745663131701186
-10.0,0.008971281685804463
-9.0,0.008276607025392188
-8.0,0.007664142869919473
-7.0,0.007177053012996365
-5.0,0.006344884863540217
-4.0,0.006174623589518801
-3.0,0.006044020725634232
-2.0,0.005937966852270028
-1.0,0.005921235483783528
0.0,0.005926106638806033
1.0,0.0059597482881246005
2.0,0.0060454112488431185
3.0,0.005916302826678175
4.0,0.005958237099934952
6.0,0.0071449921810865505
7.0,0.008276322962244525
8.0,0.009263802217670073
9.0,0.01015110837424499
10.0,0.011258108341271573
11.0,0.012782626729084394
12.0,0.015129050663511912
13.0,0.017703313741453144
14.0,0.02071582054657461
15.0,0.02455475964447185
16.0,0.029420217042832524
17.0,0.03578720850433105
18.0,0.04310861029503755
19.0,0.05296242368970297
20.0,0.06401163339989956
21.0,0.076826252370084
22.0,0.09207655170639029
23.0,0.10901107183519429
24.0,0.12488985194068912
25.0,0.1426255931699252
26.0,0.16140971337279764
27.0,0.18001709929770277
28.0,0.1979140776377219
29.0,0.2189621261983659
30.0,0.23798372224030362
